SiteName,WBID,County,Date,Time,Latitude,Longitude,Water.Temp,DO.Final.1,DO.Saturation,pH.Final.1,Nitrate.Final.1,Nitrite.Final.1,Ammonia.Final.1,OP.Final.1,Chloride.Final.1,Ecoli,Task,RiverBasin,HUC_8
Adams Creek: Broken Arrow High School,OK121500-02-0150T,Tulsa,1/14/2010,.,36.07472222,-95.76861111,3,11,78,7.5,.,.,0.2,0.007,95,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Broken Arrow High School,OK121500-02-0150T,Tulsa,2/16/2010,.,36.07472222,-95.76861111,2,10,70,8,.,.,0.1,0.007,95,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Broken Arrow High School,OK121500-02-0150T,Tulsa,3/16/2010,.,36.07472222,-95.76861111,7,11,88,7.7,.,.,0.1,0.007,100,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Broken Arrow High School,OK121500-02-0150T,Tulsa,4/22/2010,.,36.07472222,-95.76861111,20,8,90,8,0.5,0.5,0.1,0.007,80,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Broken Arrow High School,OK121500-02-0150T,Tulsa,1/22/2018,2:35 PM,36.07472222,-95.76861111,7,16,125,8,0,0,0,0,55,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Broken Arrow High School,OK121500-02-0150T,Tulsa,6/28/2018,8:00 AM,36.07472222,-95.76861111,26,8,100,7.5,0,0,0,0,40,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Broken Arrow High School,OK121500-02-0150T,Tulsa,9/5/2018,9:00 AM,36.07472222,-95.76861111,26,8,103,7.5,0,0,0,0,35,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Broken Arrow High School,OK121500-02-0150T,Tulsa,1/19/2020,1:40 PM,36.07472222,-95.76861111,5,13,97,7.8,1.5,0,0,0.033,35,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Broken Arrow High School,OK121500-02-0150T,Tulsa,2/22/2020,4:15 PM,36.07472222,-95.76861111,8.5,16,131,7.8,0,0,0,0.033,50,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Broken Arrow High School,OK121500-02-0150T,Tulsa,5/18/2020,11:30 AM,36.07472222,-95.76861111,20,8,90,7.7,0,0,0.1,0.027,25,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Broken Arrow High School,OK121500-02-0150T,Tulsa,6/17/2020,11:30 AM,36.07472222,-95.76861111,30,9,124,8,0,0,0.1,0.02,40,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Broken Arrow High School,OK121500-02-0150T,Tulsa,9/14/2020,4:28 PM,36.07472222,-95.76861111,28,13,>150,8,0,0,0,0,35,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,1/26/2005,.,36.0958,-95.6724,4,6,46,.,0.08,.,0,0,25,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,2/28/2005,.,36.0958,-95.6724,7,10,81,8,0.03,.,0,0,20,.,Blue Thumb,Arkansas R.,11070105
