Site_Name,Date,Unnamed:_2,Time,Weather,Wind_Speed,Wind_Direction,Stream_Stage,Stage_Qualifier,Secchi__Depth,Air_Temp,Water_Temp,Stream_Site_Observations,Comments,Dissolved_Oxygen,DO_Percent,pH,Nitrate,Nitrite,Ammonia,Phosphorus,Chloride,E_coli,Total_Coliforms,Year,Month,Soluble_Nitrogen
Tenmile Creek: Davis,2012-02-21,,,Fair Skies,8-12,SW,Slightly elevated,Falling,>0.5,18.0,9.0,Clean,,14.0,126,7.0,0.3,0.03,0.03,0.027,15,,,2012,2,0.36
Tenmile Creek: Davis,2012-03-19,,,Intermittent Rain,4-7,S,Base flow,Stable,>0.5,22.0,19.0,Clean,,9.0,101,6.8,0.3,0.03,0.03,0.033,15,,,2012,3,0.36
Tenmile Creek: Davis,2012-04-23,,,Fair Skies,1-3,NW,Slightly elevated,Falling,>0.5,14.0,14.0,Clean,,9.0,91,6.4,0.3,0.03,0.03,0.04,15,,,2012,4,0.36
Tenmile Creek: Davis,2012-05-13,,,Fair Skies,8-12,SE,Slightly elevated,Falling,0.5,26.0,23.0,Clean,,8.0,97,6.3,0.3,0.03,0.03,0.005,10,,,2012,5,0.36
Tenmile Creek: Davis,2012-05-29,,,Fair Skies,Calm,E,Trace,Stable,>0.5,28.0,24.0,Oily film,film on water is organic.,4.0,50,6.3,0.3,0.03,0.03,0.005,20,,,2012,5,0.36
Tenmile Creek: Davis,2012-06-20,,,Overcast,4-7,SW,Slightly elevated,Falling,0.1,27.0,25.0,Clean,,6.0,76,6.2,0.3,0.03,0.03,0.087,10,,,2012,6,0.36
Tenmile Creek: Davis,2012-07-20,,,Fair Skies,4-7,SE,No flow,Stable,>0.5,32.0,28.0,Clean,,6.0,69,6.3,0.3,0.03,0.03,0.033,10,,,2012,7,0.36
Tenmile Creek: Davis,2012-08-27,,,Fair Skies,4-7,N,Slightly elevated,Falling,0.1,26.0,24.0,Clean,,6.0,69,6.2,0.3,0.03,0.03,0.047,10,,,2012,8,0.36
Tenmile Creek: Davis,2012-09-20,,,Fair Skies,8-12,S,No flow,Stable,>0.05,24.0,19.0,Clean,,2.6,29,6.2,0.3,0.03,0.03,0.033,10,,,2012,9,0.36
Tenmile Creek: Davis,2012-10-23,,,Overcast,4-7,SW,Base flow,Falling,0.1,22.0,19.0,Clean,,5.0,56,6.0,0.3,0.03,0.03,0.033,10,,,2012,10,0.36
Tenmile Creek: Davis,2012-12-21,,,Fair Skies,Calm,NE,No flow,Stable,0.1,11.0,6.0,Floating detritus,,5.0,42,6.3,0.3,0.03,0.03,0.013,10,,,2012,12,0.36
Tenmile Creek: Davis,2013-01-21,,,Fair Skies,Calm,N,Low flow,Falling,>0.05,7.0,6.0,Clean,,9.0,75,6.3,0.3,0.03,0.03,0.02,20,,,2013,1,0.36
Tenmile Creek: Davis,2013-02-22,,,Overcast,8-12,N,Elevated,Stable,0.1,1.0,5.0,Clean,,12.0,98,6.3,0.3,0.03,0.03,0.007,10,,,2013,2,0.36
Tenmile Creek: Davis,2013-03-19,,,Fair Skies,Calm,N,Slightly elevated,Stable,0.1,4.0,14.0,Clean,,9.0,91,6.3,0.3,0.03,0.03,0.02,10,,,2013,3,0.36
Tenmile Creek: Davis,2013-04-22,,,Fair Skies,8-12,SE,Slightly elevated,Falling,0.5,20.0,16.0,Clean,,10.0,105,6.3,0.3,0.03,0.03,0.04,10,,,2013,4,0.36
Tenmile Creek: Davis,2013-05-28,,,Fair,8-12mph,SE,Slightly elevated,Falling,0.5,25.0,23.0,Clean,,8.0,96,6.3,0.3,0.03,0.03,0.005,10,,,2013,5,0.36
Tenmile Creek: Davis,2013-06-20,,,Fair,1-3mph,SE,Slightly elevated,Falling,>0.3,30.0,25.0,Clean,,5.0,64,6.3,0.3,0.03,0.03,0.133,10,144.0,4389.0,2013,6,0.36
