Uni_samp,SiteName,WBID,IR_WBID,Latitude,Longitude,Mod_Ecoregion,Date,Year,Month,Season,Habitat_Type,SAMPLEID,PCID,Cycle,Taxa_Richness,Modified_HBI,EPT_perc,EPT_Taxa,Dom_2_Taxa,Shannon_Weaver,Taxa_Richness_Score,Mod_HBI_Score,EPT_perc_Score,EPT_Taxa_Score,Dom2_Taxa_Score,Shannon_Weaver_Score,Score,Percent_Reference,Task
48436 Riffle,Adams Creek: Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,Central Irregular Plains,3/4/2011,2011,3,Winter,Riffle,48436,OK121500-02-0150T_3,3,12,6.75,0.035714286,2,0.732142857,1.600510003,4,4,0,0,0,2,10.73214286,0.447172619,Blue Thumb
51491 Riffle,Adams Creek: Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,Central Irregular Plains,3/12/2013,2013,3,Winter,Riffle,51491,OK121500-02-0150T_3,3,10,7.408163265,0.108843537,1,0.585034014,1.674456857,4,2,2,0,0,2,10.58503401,0.441043084,Blue Thumb
51542 Riffle,Adams Creek: Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,Central Irregular Plains,7/12/2013,2013,7,Summer,Riffle,51542,OK121500-02-0150T_3,3,13,7.398305085,0.026785714,1,0.694915254,1.489777525,6,2,0,0,0,0,8.694915254,0.334419817,Blue Thumb
53656 Riffle,Adams Creek: Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,Central Irregular Plains,3/5/2014,2014,3,Winter,Riffle,53656,OK121500-02-0150T_3,3,8,7.215686275,0.01980198,1,0.725490196,1.392041369,2,4,0,0,0,0,6.725490196,0.280228758,Blue Thumb
58808 Riffle,Adams Creek: Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,Central Irregular Plains,1/22/2018,2018,1,Winter,Riffle,58808,OK121500-02-0150T_4,4,15,6.288732394,0.1,3,0.781690141,1.42243903,6,4,0,0,0,0,10.78169014,0.449237089,Blue Thumb
60668 Riffle,Adams Creek: Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,Central Irregular Plains,9/5/2018,2018,9,Summer,Riffle,60668,OK121500-02-0150T_4,4,15,6.643835616,0.159722222,3,0.547945205,1.904828659,6,4,2,0,0,2,14.54794521,0.559536354,Blue Thumb
61518 Riffle,Adams Creek: Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,Central Irregular Plains,3/11/2019,2019,3,Winter,Riffle,61518,OK121500-02-0150T_4,4,12,6.787878788,0.015151515,2,0.795454545,1.32423772,4,4,0,0,0,0,8.795454545,0.366477273,Blue Thumb
62393 Riffle,Adams Creek: Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,Central Irregular Plains,9/14/2019,2019,9,Summer,Riffle,62393,OK121500-02-0150T_4,4,16,6.282258065,0.256637168,4,0.467741935,2.184541946,6,4,4,0,0,2,16.46774194,0.63337469,Blue Thumb
62802 Riffle,Adams Creek: Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,Central Irregular Plains,2/22/2020,2020,2,Winter,Riffle,62802,OK121500-02-0150T_4,4,9,6.452173913,0.061403509,2,0.791304348,1.189707783,2,4,0,0,0,0,6.791304348,0.282971014,Blue Thumb
63554 Riffle,Adams Creek: Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,Central Irregular Plains,9/14/2020,2020,9,Summer,Riffle,63554,OK121500-02-0150T_4,4,18,6.639495798,0.186440678,4,0.56302521,1.963400181,6,4,2,0,0,2,14.56302521,0.560116354,Blue Thumb
64782 Riffle,Adams Creek: Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,Central Irregular Plains,2/23/2021,2021,2,Winter,Riffle,64782,OK121500-02-0150T_5,5,14,7.324074074,0.056074766,1,0.592592593,1.788418864,6,4,0,0,0,2,12.59259259,0.524691358,Blue Thumb
22353 Riffle,Adams Creek: Oak Grove Road,OK121500-02-0150G,OK121500020150_00,36.0958,-95.6724,Central Irregular Plains,1/23/2001,2001,1,Winter,Riffle,22353,OK121500-02-0150G_1,1,12,5.878962536,0.027377522,3,0.922190202,0.723926968,4,6,0,0,0,0,10.9221902,0.455091258,Blue Thumb
26312 Riffle,Adams Creek: Oak Grove Road,OK121500-02-0150G,OK121500020150_00,36.0958,-95.6724,Central Irregular Plains,1/16/2002,2002,1,Winter,Riffle,26312,OK121500-02-0150G_1,1,16,5.937974684,0.020253165,4,0.894936709,0.80717813,6,6,0,2,0,0,14.89493671,0.620622363,Blue Thumb
26853 Riffle,Adams Creek: Oak Grove Road,OK121500-02-0150G,OK121500020150_00,36.0958,-95.6724,Central Irregular Plains,1/22/2003,2003,1,Winter,Riffle,26853,OK121500-02-0150G_1,1,12,6.372693727,0.044280443,4,0.719557196,1.424138947,4,4,0,2,0,0,10.7195572,0.446648216,Blue Thumb
29079 Riffle,Adams Creek: Oak Grove Road,OK121500-02-0150G,OK121500020150_00,36.0958,-95.6724,Central Irregular Plains,7/14/2003,2003,7,Summer,Riffle,29079,OK121500-02-0150G_1,1,11,4.833333333,0.24742268,3,0.657894737,1.592494703,4,6,4,0,0,2,16.65789474,0.640688259,Blue Thumb
