Site_Name,Date,do_percent,pH,Nitrate,Nitrite,Ammonia,Phosphorus,Chloride,Year,Month,soluble_nitrogen
Adams Creek: Broken Arrow High School,2010-01-14,78.0,7.5,,,0.2,0.007,95.0,2010,1,0.53
Adams Creek: Broken Arrow High School,2010-02-16,70.0,8.0,,,0.1,0.007,95.0,2010,2,0.43
Adams Creek: Broken Arrow High School,2010-03-16,88.0,7.7,,,0.1,0.007,100.0,2010,3,0.43
Adams Creek: Broken Arrow High School,2010-04-22,90.0,8.0,0.5,0.5,0.1,0.007,80.0,2010,4,1.1
Adams Creek: Broken Arrow High School,2018-01-22,125.0,8.0,0.3,0.03,0.03,0.005,55.0,2018,1,0.36
Adams Creek: Broken Arrow High School,2018-06-28,100.0,7.5,0.3,0.03,0.03,0.005,40.0,2018,6,0.36
Adams Creek: Broken Arrow High School,2018-09-05,103.0,7.5,0.3,0.03,0.03,0.005,35.0,2018,9,0.36
Adams Creek: Broken Arrow High School,2020-01-19,97.0,7.8,1.5,0.03,0.03,0.033,35.0,2020,1,1.56
Adams Creek: Broken Arrow High School,2020-02-22,131.0,7.8,0.3,0.03,0.03,0.033,50.0,2020,2,0.36
Adams Creek: Broken Arrow High School,2020-05-18,90.0,7.7,0.3,0.03,0.1,0.027,25.0,2020,5,0.43
Adams Creek: Broken Arrow High School,2020-06-17,124.0,8.0,0.3,0.03,0.1,0.02,40.0,2020,6,0.43
Adams Creek: Broken Arrow High School,2020-09-14,,8.0,0.3,0.03,0.03,0.005,35.0,2020,9,0.36
Adams Creek: Oak Grove Road,2005-01-26,46.0,,0.08,,0.03,0.005,25.0,2005,1,0.14
Adams Creek: Oak Grove Road,2005-02-28,81.0,8.0,0.03,,0.03,0.005,20.0,2005,2,0.09
Adams Creek: Oak Grove Road,2005-03-31,78.0,7.5,0.09,,0.03,0.005,20.0,2005,3,0.15
Adams Creek: Oak Grove Road,2005-04-28,63.0,7.7,0.3,,0.03,0.007,30.0,2005,4,0.36
Adams Creek: Oak Grove Road,2005-05-31,37.0,7.5,0.08,,0.2,0.033,25.0,2005,5,0.31
Adams Creek: Oak Grove Road,2005-06-28,20.0,7.5,0.02,,0.03,0.053,20.0,2005,6,0.08
Adams Creek: Oak Grove Road,2005-07-21,27.0,7.5,0.3,0.03,0.03,0.1,15.0,2005,7,0.36
Adams Creek: Oak Grove Road,2005-08-30,55.0,7.5,1.0,0.15,0.03,0.1,10.0,2005,8,1.18
Adams Creek: Oak Grove Road,2005-09-22,35.0,7.5,0.3,0.03,0.03,0.005,15.0,2005,9,0.36
Adams Creek: Oak Grove Road,2005-10-27,16.0,7.4,0.3,0.03,0.03,0.005,15.0,2005,10,0.36
Adams Creek: Oak Grove Road,2005-11-17,3.0,7.5,0.3,0.03,0.03,0.3,30.0,2005,11,0.36
Adams Creek: Oak Grove Road,2005-12-20,,,,,,,,2005,12,0.36
Adams Creek: Oak Grove Road,2006-01-24,,,,,,,,2006,1,0.36
Adams Creek: Oak Grove Road,2006-03-01,,,,,,,,2006,3,0.36
Adams Creek: Oak Grove Road,2006-04-07,80.0,8.0,0.5,0.08,0.1,0.007,160.0,2006,4,0.68
Adams Creek: Oak Grove Road,2006-04-26,71.0,7.3,0.5,0.08,0.2,0.06,30.0,2006,4,0.78
Adams Creek: Oak Grove Road,2006-05-18,86.0,7.4,0.5,0.08,0.1,0.047,25.0,2006,5,0.68
Ballard Creek: E 0660 (Oak Hill),2005-01-12,110.0,7.1,0.06,,0.03,0.02,15.0,2005,1,0.12
Ballard Creek: Wainscott,2011-01-07,106.0,7.5,2.0,,0.1,0.066666667,15.0,2011,1,2.13
Ballard Creek: Wainscott,2011-11-06,139.0,7.5,3.0,,0.1,0.033333333,20.0,2011,11,3.13
Ballard Creek: Wainscott,2011-12-04,88.0,7.4,1.0,,0.1,0.566666667,15.0,2011,12,1.13
Ballard Creek: Wainscott,2012-03-30,146.0,7.5,1.0,,0.1,0.033333333,10.0,2012,3,1.13
Ballard Creek: Wainscott,2012-04-04,140.0,8.0,2.0,,0.1,0.053333333,15.0,2012,4,2.13
Ballard Creek: Wainscott,2012-04-30,140.0,8.0,2.0,,0.1,0.053333333,15.0,2012,4,2.13
Ballard Creek: Wainscott,2012-05-31,151.0,8.8,,,0.1,0.026666667,15.0,2012,5,0.43
Bandy Creek: Pleasant Hill Road,2005-02-03,79.0,7.0,0.02,,0.3,0.005,10.0,2005,2,0.35
Bandy Creek: Pleasant Hill Road,2005-03-07,102.0,7.5,0.02,,0.03,0.005,15.0,2005,3,0.08
Bandy Creek: Pleasant Hill Road,2005-04-05,85.0,7.0,0.002,,0.03,0.005,10.0,2005,4,0.06
