site_name,wbid,ir_wbid,latitude,longitude,sample_id,collection_date,year,huc_8,riverbasin,cycle,pcid,comid,basin,mod_ecoregion,oldecoregion,watershed_area,fwp,totalindividuals,total_species,sensitive_benthic_species,sunfish_species,intolerant_species,proportion_tolerant,proportion_insectivorous,proportion_lithophilic,percentdelt,total_species_score,sensitive_benthic_score,sunfish_species_score,intolerant_species_score,tolerant_score,insectivorous_score,lithophilic_score,total_score,comparison_to_reference,integrity_class,lettergrade,task,collection_date_str,score_validated
Ballard Creek: Wainscott,OK121700-03-0370V,OK121700030370_00,36.014656,-94.548142,51653,2013-07-16,2013,11110103,Illinois R.,3,OK121700-03-0370V_3,399046,Arkansas-Canadian,Ozark Highlands,Ozark Highlands,67.4766,CWAC,726,16,3,4,6,0.242424242,0.403581267,0.73553719,0,5,3,5,3,3,3,5,27,0.801900802,Good,,Blue Thumb,2013-07-16,True
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,25847,2002-08-21,2002,11110105,Arkansas R.,1,OK220100-04-0080G_1,6049308,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,44.532,WWAC,153,16,2,7,1,0.849673203,0.0,0.104575163,0,3,1,5,1,1,1,1,13,0.481481481,Poor,,Blue Thumb,2002-08-21,True
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,37348,2007-06-04,2007,11110105,Arkansas R.,2,OK220100-04-0080G_2,6049308,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,44.532,WWAC,230,16,2,8,1,0.956521739,0.026086957,0.008695652,0,3,1,5,1,1,1,1,13,0.481481481,Poor,,Blue Thumb,2007-06-04,True
Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,41757,2008-08-04,2008,11110103,Illinois R.,2,OK121700-05-0010G_2,400880,Arkansas-Canadian,Ouachita Mountains,Ozark Highlands,884.4687,CWAC,601,24,10,7,14,0.079866889,0.612312812,0.903494176,0,5,5,5,5,5,5,5,35,1.25,Excellent,,Blue Thumb,2008-08-04,True
Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,51650,2013-07-11,2013,11110103,Illinois R.,3,OK121700-05-0010G_3,400880,Arkansas-Canadian,Ouachita Mountains,Ozark Highlands,884.4687,CWAC,1171,23,8,5,11,0.255337319,0.366353544,0.673783091,0,5,5,5,5,1,3,5,29,1.035714286,Excellent,,Blue Thumb,2013-07-11,True
Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811,-94.897,58629,2017-10-16,2017,11110103,Illinois R.,4,OK121700-05-0010G_4,400880,Arkansas-Canadian,Ouachita Mountains,Ozark Highlands,884.4687,CWAC,2185,35,12,9,17,0.099771167,0.317162471,0.840732265,0,5,5,5,5,5,3,5,33,1.178571429,Excellent,,Blue Thumb,2017-10-16,True
Bear Creek: Miller Ranch,OK520620-01-0120C,OK520620010120_00,35.68744444,-98.6105,33762,2005-08-24,2005,11090201,Canadian R.,1,OK520620-01-0120C_1,5266264,U Canadian,Central Great Plains,Central Great Plains,44.7471,WWAC,2349,10,1,2,1,0.773094934,0.226905066,0.0,0,5,3,3,5,1,3,1,21,0.938337802,Excellent,,Blue Thumb,2005-08-24,True
Beaver Creek: N 4370 Rd,OK220200-04-0060C,OK220200040060_00,35.1122,-95.24357,60620,2018-09-15,2018,11110104,Arkansas R.,4,OK220200-04-0060C_4,1545483,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,88.4412,WWAC,407,17,7,4,4,0.28992629,0.125307125,0.528255528,0,5,5,3,5,1,1,5,25,0.925925926,Excellent,,Blue Thumb,2018-09-15,True
Bishop Creek Tributary: Basket 12,OK520610-01-0181M,OK520610010181_00,35.20769,-97.41724,60202,2018-06-08,2018,11090202,Canadian R.,4,OK520610-01-0181M_4,6025982,U Canadian,Central Great Plains,Central Great Plains,37.197,WWAC,67,2,0,1,0,1.0,0.0,0.0,0,1,1,1,1,1,1,1,7,0.312779267,Very Poor,,Blue Thumb,2018-06-08,True
Bishop Creek: Constitution Street,OK520610-01-0180P,OK520610010180_00,35.18957778,-97.42893333,33758,2005-08-10,2005,11090202,Canadian R.,1,OK520610-01-0180P_1,6025982,U Canadian,Central Great Plains,Central Great Plains,37.197,WWAC,650,8,1,2,1,0.947692308,0.052307692,0.0,0,3,3,3,5,1,1,1,17,0.759606792,Fair,,Blue Thumb,2005-08-10,True
