Site Name,Date,,Time,Weather,"Wind 
Speed","Wind 
Direction","Stream 
Stage","Stage 
Qualifier","Secchi
 Depth","Air 
Temp","Water 
Temp","Stream Site 
Observations",Comments,"DO
mg/L","% Oxygen 
Saturation",pH,"Nitrate
mg/L","Nitrite
mg/L","Ammonia 
mg/L NH3-N","Orthophosphate
mg/L P","Chloride 
mg/L Cl",E. coli,Total Coliforms
Tenmile Creek: Davis,2/21/2012,,,Fair Skies,8-12,SW,Slightly elevated,Falling,>0.5,18,9,Clean,,14,126,7,BDL,BDL,BDL,0.027,15,,
Tenmile Creek: Davis,3/19/2012,,,Intermittent Rain,4-7,S,Base flow,Stable,>0.5,22,19,Clean,,9,101,6.8,BDL,BDL,BDL,0.033,15,,
Tenmile Creek: Davis,4/23/2012,,,Fair Skies,1-3,NW,Slightly elevated,Falling,>0.5,14,14,Clean,,9,91,6.4,BDL,BDL,BDL,0.040,15,,
Tenmile Creek: Davis,5/13/2012,,,Fair Skies,8-12,SE,Slightly elevated,Falling,0.5,26,23,Clean,,8,97,6.3,BDL,BDL,BDL,BDL,10,,
Tenmile Creek: Davis,5/29/2012,,,Fair Skies,Calm,E,Trace,Stable,>0.5,28,24,Oily film,film on water is organic.,4,50,6.3,BDL,BDL,BDL,BDL,20,,
Tenmile Creek: Davis,6/20/2012,,,Overcast,4-7,SW,Slightly elevated,Falling,0.1,27,25,Clean,,6,76,6.2,BDL,BDL,BDL,0.087,10,,
Tenmile Creek: Davis,7/20/2012,,,Fair Skies,4-7,SE,No flow,Stable,>0.5,32,28,Clean,,6,69,6.3,BDL,BDL,BDL,0.033,10,,
Tenmile Creek: Davis,8/27/2012,,,Fair Skies,4-7,N,Slightly elevated,Falling,0.1,26,24,Clean,,6,69,6.2,BDL,BDL,BDL,0.047,10,,
Tenmile Creek: Davis,9/20/2012,,,Fair Skies,8-12,S,No flow,Stable,>0.05,24,19,Clean,,2.6,29,6.2,BDL,BDL,BDL,0.033,10,,
Tenmile Creek: Davis,10/23/2012,,,Overcast,4-7,SW,Base flow,Falling,0.1,22,19,Clean,,5,56,6,BDL,BDL,BDL,0.033,10,,
Tenmile Creek: Davis,12/21/2012,,,Fair Skies,Calm,NE,No flow,Stable,0.1,11,6,Floating detritus,,5,42,6.3,BDL,BDL,BDL,0.013,10,,
Tenmile Creek: Davis,1/21/2013,,,Fair Skies,Calm,N,Low flow,Falling,>0.05,7,6,Clean,,9,75,6.3,BDL,BDL,BDL,0.020,20,,
Tenmile Creek: Davis,2/22/2013,,,Overcast,8-12,N,Elevated,Stable,0.1,1,5,Clean,,12,98,6.3,BDL,BDL,BDL,0.007,10,,
Tenmile Creek: Davis,3/19/2013,,,Fair Skies,Calm,N,Slightly elevated,Stable,0.1,4,14,Clean,,9,91,6.3,BDL,BDL,BDL,0.020,10,,
Tenmile Creek: Davis,4/22/2013,,,Fair Skies,8-12,SE,Slightly elevated,Falling,0.5,20,16,Clean,,10,105,6.3,BDL,BDL,BDL,0.040,10,,
