Task,SiteName,WBID,IR_WBID,Latitude,Longitude,COMID,Date,Year,Cycle,PCID,County,Basin,RiverBasin,HUC_8,HUC_12,L4_Ecoregion,L3_Ecoregion,Mod_Ecoregion,StreamOrder,Watershed_Area,F.WP,WQ.Score,WQ.Grade,Bug.Score,Bug.Grade,Fish.Score,Fish.Grade,Habitat.Score,Habitat.Grade,Overall.Score,Letter.Grade
Blue Thumb,Adams Creek:  Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,833000,1/22/2018,2018,4,OK121500-02-0150T_4,Tulsa,Neosho-Grand,Arkansas R.,11070105,1.10701E+11,Osage Cuestas,Central Irregular Plains,Central Irregular Plains,1,NA,WWAC,NA,,0.552460234,F,NA,,NA,,0.552460234,F
Blue Thumb,Adams Creek:  Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,833000,2/23/2021,2021,5,OK121500-02-0150T_5,Tulsa,Neosho-Grand,Arkansas R.,11070105,1.10701E+11,Osage Cuestas,Central Irregular Plains,Central Irregular Plains,1,NA,WWAC,NA,,0.469042106,F,NA,,0.968454175,A,0.718748141,C
Blue Thumb,Adams Creek:  Broken Arrow High School,OK121500-02-0150T,OK121500020150_00,36.07472222,-95.76861111,833000,3/4/2011,2011,3,OK121500-02-0150T_3,Tulsa,Neosho-Grand,Arkansas R.,11070105,1.10701E+11,Osage Cuestas,Central Irregular Plains,Central Irregular Plains,1,NA,WWAC,NA,,0.385062764,F,NA,,NA,,0.385062764,F
Blue Thumb,Adams Creek:  Oak Grove Road,OK121500-02-0150G,OK121500020150_00,36.0958,-95.6724,833008,1/23/2001,2001,1,OK121500-02-0150G_1,Wagoner,Neosho-Grand,Arkansas R.,11070105,1.10701E+11,Osage Cuestas,Central Irregular Plains,Central Irregular Plains,1,125.1612,WWAC,NA,,0.610234136,D,NA,,NA,,0.610234136,D
Blue Thumb,Ballard Creek:  E 0660 (Oak Hill),OK121700-01-0370M,OK121700030370_00,36.06111667,-94.573,398736,7/18/2001,2001,1,OK121700-01-0370M_1,Adair,Arkansas-Canadian,Illinois R.,11110103,1.11101E+11,Springfield Plateau,Ozark Highlands,Ozark Highlands,3,91.2816,CWAC,NA,,0.751144832,C,NA,,NA,,0.751144832,C
Blue Thumb,Ballard Creek: Wainscott,OK121700-03-0370V,OK121700030370_00,36.014656,-94.548142,399046,7/16/2013,2013,3,OK121700-03-0370V_3,Adair,Arkansas-Canadian,Illinois R.,11110103,1.11101E+11,Springfield Plateau,Ozark Highlands,Ozark Highlands,3,67.4766,CWAC,NA,,0.291558463,F,0.835137643,B,0.934112449,A,0.686936185,D
Blue Thumb,Bandy Creek:  Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,6049308,6/4/2007,2007,2,OK220100-04-0080G_2,Latimer,Arkansas-Canadian,Arkansas R.,11110105,1.11101E+11,Scattered High Ridges and Mountains,Arkansas Valley,Arkansas Valley,3,44.532,WWAC,NA,,0.534803586,F,0.4814815,F,0.894346131,B,0.636877072,D
Blue Thumb,Bandy Creek:  Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,6049308,8/21/2002,2002,1,OK220100-04-0080G_1,Latimer,Arkansas-Canadian,Arkansas R.,11110105,1.11101E+11,Scattered High Ridges and Mountains,Arkansas Valley,Arkansas Valley,3,44.532,WWAC,NA,,0.417736045,F,0.4814815,F,NA,,0.449608773,F
Blue Thumb,Baron Fork River:  Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,400880,7/11/2013,2013,3,OK121700-05-0010G_3,Cherokee,Arkansas-Canadian,Illinois R.,11110103,1.11101E+11,Springfield Plateau,Ozark Highlands,Ouachita Mountains,5,884.4687,CWAC,NA,,0.770362085,C,0.861300861,B,0.883175189,B,0.838279378,B
Blue Thumb,Baron Fork River:  Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811,-94.897,400880,10/16/2017,2017,4,OK121700-05-0010G_4,Cherokee,Arkansas-Canadian,Illinois R.,11110103,1.11101E+11,Springfield Plateau,Ozark Highlands,Ouachita Mountains,5,884.4687,CWAC,NA,,0.885071208,B,0.980101,A,0.874472489,B,0.913214899,A
Blue Thumb,Baron Fork River:  Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,400880,8/4/2008,2008,2,OK121700-05-0010G_2,Cherokee,Arkansas-Canadian,Illinois R.,11110103,1.11101E+11,Springfield Plateau,Ozark Highlands,Ouachita Mountains,5,884.4687,CWAC,NA,,0.87746383,B,1.03950104,A,0.951830861,A,0.956265244,A
Blue Thumb,Baron Fork River:  Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,400880,1/14/2002,2002,1,OK121700-05-0010G_1,Cherokee,Arkansas-Canadian,Illinois R.,11110103,1.11101E+11,Springfield Plateau,Ozark Highlands,Ouachita Mountains,5,884.4687,CWAC,NA,,0.875241803,B,NA,,NA,,0.875241803,B
Blue Thumb,"Bear Creek:  E 0110 Road, Kaw Tribe",OK621210-00-0200M,OK621210000200_00,36.8537222,-96.88425,21038017,7/12/2005,2005,1,OK621210-00-0200M_1,Kay,Cimarron-Upper Arkansas,Arkansas R.,11060001,1.106E+11,Flint Hills,Flint Hills,Flint Hills,1,35.8164,WWAC,NA,,0.474300533,F,NA,,NA,,0.474300533,F
Blue Thumb,Bear Creek:  Miller Ranch,OK520620-01-0120C,OK520620010120_00,35.68744444,-98.6105,5266264,8/24/2005,2005,1,OK520620-01-0120C_1,Blaine,U Canadian,Canadian R.,11090201,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,2,44.7471,WWAC,NA,,1.102395955,A,0.9383378,A,0.754917521,C,0.931883759,A
Blue Thumb,Bear Creek:  Miller Ranch,OK520620-01-0120C,OK520620010120_00,35.68744444,-98.6105,5266264,1/18/2006,2006,2,OK520620-01-0120C_2,Blaine,U Canadian,Canadian R.,11090201,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,2,44.7471,WWAC,NA,,0.83870584,B,NA,,NA,,0.83870584,B
Blue Thumb,Beaty Creek,OK121600-05-0160A,OK121600050160_00,36.35007,-94.783425,21771011,2/4/2021,2021,5,OK121600-05-0160A_5,Delaware,Neosho-Grand,Arkansas R.,11070209,1.10702E+11,Springfield Plateau,Ozark Highlands,Ozark Highlands,3,154.5984,CWAC,NA,,0.327858069,F,NA,,NA,,0.327858069,F
